supplychain,partnership,technology adaption,crop insurance,digital information platform,reach
1,8,2,68,1,37.03703701082474
52,1,3,66,2,57.40740745793814
75,34,2,62,1,80.55555556232989
13,27,1,60,3,48.14814806377319
35,17,1,52,3,49.999999968350515
83,29,3,57,2,80.55555558047423
61,16,3,66,1,68.05555559340205
89,22,3,28,1,66.2037037687835
71,40,1,38,2,70.37037034346392
51,37,2,70,2,74.9999999566598
89,27,1,64,3,85.1851851962268
14,0,3,60,3,37.0370370314433
18,10,2,25,1,25.925925923298966
72,39,1,49,2,75.46296293793814
61,10,2,34,2,50.46296300183504
42,0,3,26,3,34.25925929445361
58,36,3,63,1,74.53703702426803
51,37,1,22,1,51.85185182072165
74,29,1,58,1,75.46296297410308
45,22,1,28,2,45.37037035476288
97,15,1,38,3,71.29629634995877
63,3,3,27,1,44.90740748472165
78,27,1,36,1,66.2037037281237
63,18,2,38,2,56.94444446628865
93,40,2,34,2,79.16666667503094
89,38,1,70,3,93.05555553962886
100,16,3,22,3,66.66666673795876
15,29,1,32,1,36.11111105181443
12,1,3,37,2,25.46296296754639
20,22,1,60,1,48.14814810727835
52,18,3,27,2,47.22222223874227
54,25,2,48,2,60.64814814047423
71,12,3,51,2,64.35185190276289
60,38,1,62,2,75.46296292307217
84,39,2,36,1,75.0000000104536
37,30,2,59,3,60.648148094
76,0,3,52,1,61.111111207979384
7,30,2,25,3,31.018518431855668
7,12,1,21,1,19.44444441698969
47,35,1,40,1,57.40740737309279
42,7,2,70,2,56.94444446068041
69,1,1,66,1,63.8888889586598
21,28,1,63,3,53.703703626597935
70,2,1,23,1,44.90740748290722
41,20,1,70,1,61.5740740628866
37,30,1,50,3,56.01851845896907
59,16,2,42,3,56.481481490948454
18,7,3,22,2,24.074074074432986
8,16,2,32,1,27.31481478424742
49,23,2,39,1,52.777777781360825
20,40,3,66,2,60.648148066
3,21,2,67,1,43.51851846424742
82,24,3,38,3,69.44444447152577
100,19,2,37,1,73.61111118892782
45,16,3,41,1,49.074074095670106
53,23,3,57,3,64.35185184162886
27,3,2,44,1,35.64814817043299
78,32,2,66,3,83.79629628812371
28,40,3,62,2,62.49999992859794
94,19,1,48,1,75.46296302461855
82,37,1,64,3,86.57407405261856
30,22,2,22,2,36.11111108432989
33,7,3,35,1,36.574074102742266
22,39,2,41,3,49.53703694550515
37,19,3,23,2,38.888888884721645
94,12,1,45,3,71.7592593151134
43,19,2,26,3,43.05555554024742
87,25,1,41,1,71.75925929898969
27,27,3,35,2,43.51851848088659
37,12,3,40,2,43.51851852820618
95,28,3,21,3,69.44444448119587
37,34,1,62,3,63.425925855010306
87,32,2,66,2,87.50000001461856
50,28,3,60,2,66.20370368880413
13,0,3,34,1,23.611111131216493
56,23,2,49,3,61.574074062082474
18,26,1,60,1,49.0740740212165
67,26,1,34,1,59.72222223542268
61,38,1,48,3,69.90740735958762
3,38,2,69,3,53.240740623113396
39,27,1,30,2,45.83333329799999
31,31,1,27,3,43.05555548971134
76,29,1,44,3,70.83333332639175
14,7,3,35,2,28.24074073397938
11,16,2,28,1,26.85185182571134
45,16,3,66,3,61.57407406886598
19,33,2,38,1,43.055555497731966
36,17,3,21,1,36.11111112214433
8,27,2,58,2,44.90740733527834
32,19,3,48,2,48.14814813369072
33,9,3,58,1,48.14814816843299
91,10,3,54,2,74.07407415451547
78,28,1,44,3,71.29629629424743
95,39,3,55,1,89.3518518800206
92,26,2,24,1,67.12962968284536
33,3,1,56,2,43.98148149119587
74,39,3,56,1,80.09259259406184
15,8,3,20,3,22.685185168288662
27,19,2,46,2,44.444444417154635
37,34,2,39,3,53.24074068030928
32,19,2,56,3,51.85185181787629
24,36,3,53,3,55.092592515608246
88,7,2,61,1,73.6111111983299
91,34,3,26,1,71.75925929880412
20,33,3,34,1,42.12962958053608
41,10,3,30,3,40.27777778742268
28,4,2,35,2,32.87037038156701
70,2,2,57,3,62.03703709113402
68,18,3,58,1,68.51851856175257
32,8,3,33,3,36.57407407659794
44,26,3,42,1,53.703703700226804
18,13,3,49,2,39.351851833731956
17,18,1,70,3,50.46296290334021
67,11,1,31,2,51.85185188958763
12,4,1,40,1,26.851851846618555
23,19,3,21,3,31.94444441148454
91,36,2,27,1,72.6851852130103
76,20,2,30,3,60.64814817154639
11,23,1,26,1,28.70370365449484
36,19,1,65,2,56.944444418680405
78,16,2,21,3,55.555555592371135
35,25,3,67,1,60.64814813169072
85,26,3,26,3,66.20370373175258
1,21,2,51,3,36.11111103402062
38,14,1,46,1,46.296296299319586
56,21,3,28,2,50.92592594024742
37,29,1,50,1,54.62962959527835
8,3,2,53,1,31.01851851536082
30,18,3,70,1,56.48148147478351
94,2,1,30,3,60.185185267072164
63,5,2,44,1,53.24074080379382
70,28,2,29,1,60.185185205072166
84,36,1,68,1,87.96296296859794
30,5,3,34,1,33.79629632606186
7,3,2,43,1,25.92592592309278
76,9,1,63,3,70.37037040771133
62,16,2,56,1,63.42592595979381
70,4,1,35,3,52.31481486084536
57,13,2,63,1,62.962962996494845
18,16,2,51,2,41.2037036713402
9,10,2,49,3,33.79629625564948
4,11,1,65,1,37.96296292709278
18,14,2,41,1,35.1851851705567
35,23,3,35,1,44.907407400762885
93,4,3,20,1,56.018518632494846
32,5,1,25,1,29.629629649690717
44,34,3,59,3,66.2037036557732
71,0,3,22,3,45.83333340581443
4,12,1,29,3,22.68518512983505
22,14,3,28,2,31.944444432350515
82,19,3,69,3,81.48148151546391
79,37,1,61,3,83.79629627152578
74,38,2,32,3,68.98148145946391
76,13,1,34,1,57.870370425690716
64,7,2,48,1,56.48148154043299
32,22,2,46,3,48.61111107162887
46,32,2,51,1,61.11111108771134
12,4,2,66,3,40.27777775241237
10,37,1,27,3,36.111111004536085
3,39,1,44,2,41.203703592268035
76,12,1,47,2,63.88888893309278
95,29,1,52,2,82.87037039758764
62,5,1,28,2,45.3703704164536
11,19,1,22,3,25.92592586397938
31,34,2,28,3,45.37037030410309
32,9,2,55,3,46.75925924909278
11,33,2,38,1,39.35185178391753
37,20,2,69,3,60.648148116061854
13,10,3,26,3,25.46296293785567
74,15,2,65,2,73.14814818670102
13,12,1,24,3,24.537036993855672
24,5,1,66,1,44.90740741084536
98,10,1,65,3,81.94444450690722
33,25,1,43,3,48.6111110594433
28,37,2,31,3,46.75925918162886
89,15,3,22,1,60.18518526777319
89,21,3,57,2,79.62962968105155
61,8,2,36,2,50.46296300624743
67,11,2,22,1,47.68518524259794
25,14,1,61,3,48.14814810952578
24,12,2,59,3,46.29629626828866
43,11,3,46,3,49.07407408134021
60,26,2,34,1,56.94444445562886
45,8,2,53,3,51.38888889783505
35,14,3,69,2,56.944444442268036
73,29,1,38,1,65.7407407537938
43,29,2,30,1,48.61111109435051
99,25,1,42,2,78.24074078406186
33,4,1,20,2,27.777777790845356
25,9,3,44,1,37.96296297536083
43,10,3,24,2,37.96296298750515
63,8,3,38,3,53.24074078164948
20,13,3,38,2,35.1851851713402
2,12,1,64,2,37.499999947979376
45,38,3,62,1,68.98148144771133
81,18,3,26,1,59.72222228696907
89,15,2,68,3,81.94444449006185
93,6,1,67,2,78.2407408174433
4,6,1,59,3,33.796296250371135
71,23,2,65,2,75.46296297880413
6,30,3,46,2,40.27777770476288
23,40,3,53,2,56.0185184422268
16,29,3,23,1,33.33333329039176
58,21,2,51,3,62.49999999494845
60,26,1,49,2,63.88888887944329
17,6,2,32,3,27.777777759402063
80,36,1,23,1,65.27777778550515
11,16,2,37,3,31.944444394041238
67,4,3,31,2,49.537037104989686
49,17,1,69,1,63.42592593210309
36,20,2,24,2,38.88888887410309
46,3,2,45,1,44.90740745354639
66,6,1,64,1,63.88888894336082
67,34,3,60,1,76.38888889270102
30,38,3,50,2,56.94444438220618
34,27,3,48,3,53.24074069847423
6,26,3,70,2,49.537036969670105
67,13,1,70,2,70.83333336014434
36,19,3,28,3,41.20370368606185
77,14,3,48,1,66.20370376936081
100,39,1,44,2,86.11111112226804
7,40,3,26,2,36.1111110188866
100,13,1,69,2,85.64814821682474
56,33,1,69,2,74.53703700280413
6,8,2,25,1,19.44444443138144
84,4,3,42,3,62.96296303923711
96,28,2,55,1,84.25925930787628
58,2,3,23,3,41.20370375486598
6,5,1,24,1,17.12962961698969
72,9,1,39,3,57.40740744350515
80,19,1,69,3,79.62962964742268
48,13,3,47,1,51.85185188338145
19,4,3,40,2,31.481481487340204
93,34,3,46,1,81.9444444833402
53,17,2,42,3,54.16666666618556
78,20,1,66,3,77.77777779115463
46,20,1,61,1,59.72222221878351
71,31,2,61,1,76.85185186082472
93,10,3,26,2,62.037037124453605
14,33,1,48,2,45.370370286391754
33,8,2,34,3,37.03703703383505
52,32,1,58,2,67.12962959445362
98,39,1,36,3,81.94444444292783
52,15,2,37,2,50.00000001519587
5,2,2,50,1,27.777777773670103
75,32,1,48,1,72.68518519208247
72,7,2,44,1,58.33333340303093
53,30,1,52,2,63.8888888606598
1,32,2,69,3,49.537036931072166
47,8,3,45,1,48.148148190556704
32,33,1,57,1,57.407407356164946
46,31,3,52,2,62.03703701125773
30,8,2,24,3,31.0185185131134
8,19,3,29,1,27.77777774742268
47,21,1,55,3,58.79629626987629
74,11,2,68,1,72.22222228117525
91,9,2,29,1,61.11111120247423
78,12,1,29,3,56.94444448261856
49,30,1,51,1,61.111111089402065
71,32,1,52,3,73.61111108948454
31,12,1,52,1,44.90740740536082
20,21,2,57,2,47.222222179608245
42,37,3,63,2,68.05555550878351
99,23,3,38,1,75.92592599969072
13,22,2,33,3,33.79629623486598
13,23,2,55,2,43.981481425608244
52,34,2,53,1,65.74074071987629
54,32,2,41,3,61.111111076577316
12,13,2,27,1,25.462962945340205
2,5,1,26,3,17.129629588783505
79,25,1,24,1,60.18518521750515
65,25,1,26,1,54.629629643938145
72,10,3,26,2,52.314814875690715
63,24,1,40,3,60.648148137237115
27,39,1,60,3,60.18518509012371
82,20,2,57,1,75.00000004952577
52,36,1,56,1,67.59259255969071
27,15,2,24,1,31.94444444152577
28,21,2,66,2,55.09259255865979
75,32,1,68,3,82.87037035125773
37,8,2,29,3,36.57407407672165
57,11,1,63,1,61.574074105505154
32,35,3,69,2,65.27777772214434
55,26,2,61,1,67.12962963020618
20,1,2,33,2,26.851851860350514
72,37,3,34,2,68.51851851426804
72,31,2,66,1,79.62962963907215
20,26,3,38,3,41.66666661065979
100,9,2,52,2,76.3888889765567
89,33,3,50,1,81.48148151705153
4,11,2,52,2,32.87037033197938
19,29,3,64,3,54.629629561134024
63,37,1,30,2,61.57407404542267
33,38,1,34,1,49.5370369788866
100,11,2,22,3,63.888888965175255
77,37,2,47,3,76.85185183360825
93,26,1,26,3,68.98148150597939
7,21,3,47,3,37.49999993795876
23,30,2,61,2,54.62962956888659
44,34,2,43,3,58.333333281113404
12,40,3,24,1,37.037036962865976
86,33,2,56,3,83.33333333449484
71,1,2,28,1,47.68518527035051
80,33,2,49,1,76.38888890641236
27,3,3,20,1,25.000000032927833
12,29,2,59,3,48.61111102773196
4,32,1,56,3,44.44444433750515
45,13,1,21,1,37.50000001820619
59,12,3,25,2,46.759259299134015
43,33,1,59,1,63.42592588826804
65,22,2,67,3,73.61111111
4,1,1,51,2,27.31481479340206
62,31,3,66,2,75.92592591814433
43,39,3,49,1,62.49999996340206
23,21,2,26,1,33.796296273814434
11,32,2,62,2,50.462962882164945
59,31,1,34,1,58.33333332459794
92,30,2,30,1,71.75925930206185
13,31,1,59,1,48.61111104026804
2,30,3,20,1,25.92592586340206
83,14,3,46,2,68.5185185806598
21,16,2,34,2,34.722222196350515
30,24,1,33,3,42.12962957812371
67,22,1,36,1,58.79629631863917
11,37,3,22,3,35.185185094329896
76,33,1,47,3,74.07407405719587
72,23,1,20,3,55.09259259859793
51,25,2,68,2,68.5185185038763
67,8,3,61,2,65.27777783150516
83,22,2,33,1,65.27777782764947
89,12,1,54,1,72.6851852561237
76,33,2,35,1,68.0555555702474
72,23,2,44,2,66.20370372414433
97,31,2,49,3,84.25925928016495
31,37,3,42,1,52.77777773185567
39,14,2,57,1,52.31481482418557
72,25,2,57,1,72.68518521024741
41,31,2,50,3,58.79629624626804
5,31,1,67,2,49.074073980432985
26,34,2,29,3,43.518518445773196
6,8,1,42,3,27.777777732350515
73,12,1,68,3,72.68518521084536
23,11,2,59,3,45.37037034346392
73,35,3,30,1,65.74074075453608
62,9,3,29,2,48.61111116123711
27,8,2,63,1,46.75925926670103
84,22,1,64,3,80.55555557210309
80,11,1,50,1,66.20370376626803
82,28,3,66,3,84.25925927243298
25,10,3,41,1,37.0370370475464
63,16,2,40,2,56.94444447070102
35,20,2,20,1,36.1111111071134
99,19,2,47,2,78.24074080428866
44,38,3,38,2,57.870370327731955
34,0,2,53,2,42.12962965501031
88,22,1,35,3,68.98148150769073
8,27,2,50,1,40.740740681298966
99,6,3,63,1,79.62962973962885
41,6,3,47,3,46.29629631270103
2,18,3,64,1,40.740740699608246
13,29,3,40,1,39.81481476538145
8,33,1,31,1,34.259259181814436
43,9,3,27,2,38.88888891531958
82,11,3,26,3,57.87037043010309
82,14,1,29,3,59.72222226072165
66,25,1,67,1,74.07407408313401
38,21,2,24,2,40.27777776315463
29,10,1,23,3,30.555555537484537
43,12,3,23,3,38.8888888974433
19,26,2,52,1,46.29629625280412
42,15,3,40,3,47.685185182680414
47,5,3,56,3,52.77777780270103
9,30,3,20,2,29.62962956453608
67,21,3,47,2,64.81481484002062
86,27,2,65,2,84.25925928459795
88,30,3,27,1,68.98148152653607
50,4,1,58,3,53.70370372080413
28,20,3,25,3,36.57407404443299
62,36,3,69,2,79.6296296095464
34,5,2,22,3,30.555555562618558
79,35,2,36,1,70.83333334692783
36,19,3,33,1,42.59259259698969
71,14,2,48,2,63.425925965752576
8,25,3,48,2,39.81481475583505
95,34,2,30,1,75.00000003713401
29,39,2,50,3,56.944444360329896
60,32,3,25,3,56.94444442686598
1,0,1,68,3,33.79629625934021
49,0,3,34,2,40.74074079492783
6,6,2,51,3,31.48148144618557
46,0,2,59,2,50.4629630025567
57,12,3,33,3,50.0000000246598
44,6,3,53,2,50.00000003065979
9,15,3,54,3,38.88888884245361
12,20,3,36,1,33.3333333045567
61,10,1,52,2,58.333333362515454
56,16,1,23,1,44.90740743210309
100,40,1,68,1,97.22222223861856
83,22,1,52,2,74.07407410268041
40,2,3,34,1,37.03703708653608
25,14,2,67,1,50.46296295305155
36,19,3,66,3,58.79629627261855
53,31,2,42,1,59.72222221146392
74,39,3,62,1,82.87037037088659
26,38,2,35,1,47.22222216189691
98,14,2,70,1,85.64814823002061
75,10,2,45,1,61.57407414030928
23,31,1,48,2,48.61111104323711
7,22,1,36,3,31.944444368123712
4,11,2,42,3,28.70370365548454
69,18,3,54,3,68.05555557785567
13,31,1,31,1,35.64814808175258
33,17,3,32,2,40.27777777185567
8,28,1,70,1,49.99999992818557
66,18,1,54,2,65.27777779404124
73,30,1,39,1,66.66666667719588
75,17,3,68,2,76.3888889303299
56,35,1,29,3,57.407407363381445
75,3,3,26,1,50.00000009263917
30,14,1,35,3,38.42592589775258
72,22,2,33,3,61.11111112424742
54,39,1,32,2,59.25925921418556
88,24,1,55,3,79.16666668496907
90,7,2,41,2,65.74074082224742
16,19,2,54,1,42.59259256154639
38,29,3,36,2,49.999999971381435
38,20,1,33,3,43.98148144954639
12,35,3,35,3,40.740740653814434
65,23,2,51,2,66.20370371418558
45,9,3,57,3,54.166666679443296
36,33,2,27,1,45.83333329874227
45,26,2,50,1,57.40740739709279
13,11,2,67,2,43.98148145208247
65,11,1,53,1,60.64814819127835
48,32,3,23,1,49.537037027443304
97,6,1,30,3,63.42592600214433
32,6,1,30,3,33.33333332740206
21,1,1,33,3,27.3148148063299
41,33,2,53,3,61.111111055876286
92,2,3,46,2,67.12962973152578
42,13,1,44,2,47.22222222156701
3,14,1,33,1,24.074074034927833
99,38,2,23,3,76.3888888998969
69,29,1,58,2,73.61111110451547
62,25,3,70,3,75.46296295731959
14,24,1,63,2,48.148148083072165
40,17,2,70,3,61.11111108975258
38,7,3,56,2,49.074074094309275
65,5,3,27,2,47.222222285917525
70,9,1,33,1,52.77777783513402
32,37,3,29,3,48.14814808272165
75,38,1,26,1,65.27777777397937
23,5,2,29,1,27.777777792659794
10,2,2,56,3,33.79629627472165
2,11,1,45,3,28.703703645649487
12,39,1,41,3,44.4444443334433
29,0,1,54,3,40.27777777843299
23,8,3,25,1,27.777777793030925
66,9,1,57,3,62.96296298861856
50,39,3,53,3,68.51851846729896
74,3,2,47,2,59.25925932905154
61,17,3,56,2,64.35185187750515
42,29,2,59,3,62.49999995453608
89,17,1,53,3,75.46296299940205
65,35,1,60,1,74.99999998525773
78,30,2,52,2,75.92592593612372
71,26,3,30,1,60.64814818070103
45,23,2,59,1,60.18518518053608
13,16,3,60,3,43.981481436783504
55,3,3,55,2,54.62962968096907
37,21,2,69,3,61.11111107665979
62,27,2,60,1,70.37037037758762
66,15,3,59,3,67.59259261740206
41,22,1,30,1,43.981481471917526
38,7,3,33,1,37.96296299826804
60,15,2,26,1,48.148148186618556
22,14,3,62,1,47.22222221614433
88,11,1,51,2,70.83333339443298
26,31,2,20,3,37.96296289874227
85,35,2,42,1,76.38888890911339
12,15,3,46,2,36.11111108115464
28,24,1,70,2,57.87037032187629
84,5,2,53,2,67.5925926693402
14,19,3,52,2,41.666666628824736
25,27,1,59,1,52.31481476859794
80,4,3,56,1,66.66666675849484
57,2,3,56,2,55.55555561162886
14,17,2,32,3,31.481481433298967
46,35,2,40,1,57.40740737865979
65,0,1,34,3,47.685185234515465
37,1,1,55,3,44.90740741564949
37,31,2,55,3,59.25925920338144
61,16,3,70,2,70.37037039616494
50,30,3,27,1,51.38888888591753
70,18,3,55,3,68.98148150488659
88,10,1,61,3,75.46296301342268
56,23,1,60,2,65.74074073158764
33,33,1,40,3,50.925925855814434
68,27,1,62,1,73.61111111876288
40,26,2,68,2,63.888888857979374
88,5,2,24,1,55.55555565338144
3,21,1,52,2,36.574074003938144
30,3,1,49,1,38.88888890734021
56,20,3,46,3,59.259259261670095
7,21,3,53,2,39.81481476323711
30,15,1,28,2,35.185185167175256
64,16,3,44,1,59.259259304391755
2,13,3,34,3,25.46296291558763
75,16,3,23,1,54.629629692
49,0,1,54,3,49.53703706296908
37,18,1,33,1,41.66666666103093
28,22,3,68,2,56.94444441465979
98,27,3,28,3,73.61111115290721
69,23,3,22,3,55.5555555711134
23,14,1,45,3,39.81481477620619
81,7,3,27,3,56.01851858628866
42,24,1,45,3,53.24074070249485
27,24,3,23,3,37.03703699698969
85,20,2,68,2,81.94444448459794
60,14,1,57,1,61.574074103154636
79,39,1,26,3,68.51851849457732
23,35,1,70,1,60.1851851157732
45,24,3,50,2,57.407407397237115
18,17,1,59,2,44.90740736457732
58,4,3,66,2,61.57407412509278
51,27,2,52,3,62.49999997175257
74,38,2,38,1,70.83333333319587
84,4,2,57,2,68.98148155995877
75,32,1,41,3,70.3703703555464
96,36,1,66,2,93.05555556525773
61,15,1,41,3,56.018518526206186
42,32,3,23,3,47.68518514517526
25,2,1,28,2,26.85185185826804
31,23,1,62,3,55.55555550307216
96,23,1,29,2,69.90740745373196
6,2,3,41,2,24.999999994
24,26,2,66,2,55.555555504742266
63,31,2,33,3,61.11111109158763
20,11,2,56,2,42.12962961082474
86,39,3,20,1,68.98148150383504
60,18,3,23,3,49.537037052886596
94,24,2,68,2,87.96296300503093
13,12,2,35,1,29.16666665140206
48,40,1,68,3,74.07407400191752
93,22,1,55,3,80.55555558490722
60,4,3,39,2,50.000000057835045
92,35,2,48,2,82.87037038707217
37,35,2,32,3,50.462962901278345
60,30,1,38,1,60.1851851794433
98,22,3,29,2,71.29629636117527
4,28,2,49,2,39.35185177373196
53,26,3,48,2,61.11111110663918
50,3,1,49,3,49.07407409496908
54,8,2,47,1,51.85185189595877
72,5,3,32,2,52.77777784952576
21,10,1,48,3,38.4259258937732
13,39,2,35,3,42.59259249063918
19,2,2,27,3,24.537037031443298
35,4,2,36,1,36.111111142412376
12,25,1,61,1,46.296296238061856
2,21,2,36,3,29.62962955618557
65,31,3,36,2,63.425925926701034
70,40,3,48,1,74.99999999531958
56,23,1,23,1,48.14814815628866
38,33,1,61,1,62.037036992742266
19,36,1,22,3,37.49999990795876
35,40,1,44,3,56.9444443596701
35,2,1,44,3,39.35185185694846
42,30,2,33,2,50.46296293068041
47,11,3,37,3,46.759259273010315
1,20,3,31,2,26.388888835587625
70,11,2,60,1,66.66666672183504
56,7,3,46,2,52.77777782235051
62,7,2,62,3,62.9629629943299
16,13,3,37,1,32.40740740008248
20,23,2,70,1,53.703703665711345
70,33,1,23,1,59.2592592614433
54,4,2,55,3,54.629629659092785
3,17,1,24,1,21.296296251484534
84,27,1,33,2,68.05555557661856
62,28,3,32,3,59.259259252556696
21,37,1,20,3,37.96296287140206
88,24,3,44,2,74.53703708216496
99,14,2,54,3,79.62962969247423
19,22,2,46,2,42.12962958513402
13,11,2,68,2,44.4444444148866
37,12,3,22,2,35.185185197731954
20,33,3,30,3,41.20370363241237
97,4,1,31,1,62.0370371406598
69,4,1,37,2,52.31481487068041
1,32,3,51,2,41.20370361884536
73,16,1,38,3,60.6481481691134
45,25,3,43,1,54.16666666665979
62,26,1,39,2,60.185185179855665
31,39,1,20,3,43.518518434865975
79,24,1,48,3,71.75925926729897
87,11,3,60,2,75.46296303503092
45,28,3,27,1,48.14814814358763
86,17,3,36,3,67.12962967863918
27,34,1,67,2,60.64814807521649
89,7,2,25,1,57.40740750160825
99,7,1,47,2,72.2222223073196
